,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,FIPStxt,State,County,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,RuralUrbanContinuumCode2003,UrbanInfluenceCode2003,Metro2013,Nonmetro2013,Micropolitan2013,Type_2015_Update,Type_2015_Farming_NO,Type_2015_Manufacturing_NO,Type_2015_Mining_NO,Type_2015_Government_NO,Type_2015_Recreation_NO,Low_Education_2015_update,Low_Employment_2015_update,Population_loss_2015_update,Retirement_Destination_2015_Update,Perpov_1980_0711,PersistentChildPoverty_1980_2011,Hipov,HiAmenity,HiCreativeClass2000,Gas_Change,Oil_Change,Oil_Gas_Change,Metro2003,NonmetroNotAdj2003,NonmetroAdj2003,Noncore2003,EconomicDependence2000,Nonmetro2003,Micropolitan2003,FarmDependent2003,ManufacturingDependent2000,LowEducation2000,RetirementDestination2000,PersistentPoverty2000,Noncore2013,Type_2015_Nonspecialized_NO,Metro_Adjacent2013,PersistentChildPoverty2004,RecreationDependent2000
11,12,121,00295729,0500000US12121,12121,Suwannee,06,1783342120,9593307,"POLYGON ((-16274.80516908169 658900.1221651485, -10744.32240111509 671457.9944880489, -8667.142907175148 672569.3443822317, -51.48814582207706 678793.1201226257, 7658.079662095872 677165.2301416172, 27430.7263813582 666591.3311508361, 26878.09186480209 627692.5906192189, 29975.41295402395 625350.6315611007, 26156.42470315105 621706.8893404879, 20054.92092118307 619466.8583254111, 18413.77144090939 616809.3955838123, 10566.0289163258 628719.4237442857, -8246.498387528758 642011.0542391116, -14515.38904883005 642519.5563441151, -16274.80516908169 658900.1221651485))",12121,FL,Suwannee,6.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
12,12,027,00294452,0500000US12027,12027,DeSoto,06,1649027555,6243548,"POLYGON ((95333.91131241011 318865.8186256784, 95529.76274010818 333325.6404009887, 144186.9545199414 333273.0984073255, 144176.6871479967 299277.4189951351, 102442.1569169882 299690.1864410831, 95073.88746845491 299402.8698109358, 95333.91131241011 318865.8186256784))",12027,FL,DeSoto,6.0,5.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
13,12,007,00303634,0500000US12007,12007,Bradford,06,761362115,16905201,"POLYGON ((73849.29673383749 623759.387234811, 78466.70115088361 631649.7741236504, 89422.66923420146 640614.2749011067, 89918.4175169378 644282.6564894242, 98893.79688851598 644198.5449071524, 98812.8485490937 600296.4542112972, 98481.23142798795 597144.4964959866, 97863.36251274044 597101.5674161559, 90492.46372228272 610221.918653254, 77024.55779125664 611145.5859922317, 63007.90238800368 620188.746043436, 73849.29673383749 623759.387234811))",12007,FL,Bradford,6.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
14,12,041,00303633,0500000US12041,12041,Gilchrist,06,905705530,14362143,"POLYGON ((11411.20091757827 602237.8163439455, 14355.1884216007 609922.2777162344, 16993.29999977825 610177.5950318684, 18413.77144090939 616809.3955838123, 20054.92092118307 619466.8583254111, 26156.42470315105 621706.8893404879, 29056.10870860869 621216.3222082015, 29189.79298043676 617765.1397805234, 39698.62212847295 610194.0092426928, 39495.09216517044 580774.8627200245, 29783.85061187227 580657.663896082, 28227.19353783297 583166.6345756839, 20124.06760885776 583222.8679700374, 12305.74772792912 584121.8162631867, 10594.66720619079 583530.4691005342, 11411.20091757827 602237.8163439455))",12041,FL,Gilchrist,2.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,12,055,00295756,0500000US12055,12055,Highlands,06,2634768891,231625544,"POLYGON ((144393.3497821867 367180.433495237, 147712.0634924637 367141.0278518974, 185971.9601306542 366684.1377374339, 186133.6368719769 362037.1740235872, 178833.2796681534 354003.9892772116, 190262.3108560444 337412.9982272448, 196594.2736103253 335199.2793821599, 202858.7459148756 319534.780419697, 205877.4331886365 318223.0778994178, 183244.8090402201 318637.0236793821, 183316.6421837734 308903.0286696666, 173462.1488913291 308849.5578425328, 173486.9983377213 299030.1248045425, 144185.841610921 299260.9793283185, 144176.6871479967 299277.4189951351, 144186.9545199414 333273.0984073255, 144393.3497821867 367180.433495237))",12055,FL,Highlands,3.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
16,12,125,00306913,0500000US12125,12125,Union,06,630806896,16049423,"POLYGON ((47923.96064476311 627899.494452685, 59481.61971499198 643890.2821155061, 89918.4175169378 644282.6564894242, 89422.66923420146 640614.2749011067, 78466.70115088361 631649.7741236504, 73849.29673383749 623759.387234811, 63007.90238800368 620188.746043436, 54146.90125683334 622756.8461424205, 52317.00626642437 622298.3962143291, 47923.96064476311 627899.494452685))",12125,FL,Union,6.0,4.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
17,12,113,00306914,0500000US12113,12113,Santa Rosa,06,2622050626,418020795,"POLYGON ((-404483.4863825036 738909.7713668252, -401427.9188149575 747456.0190999242, -389162.3439831565 754973.5918619554, -389066.4322202556 754968.7221685897, -366592.8468855429 753592.6921145846, -357416.1311359787 753069.8595449764, -352987.0965610865 752796.4666160338, -357919.65547338 684804.2725406003, -362783.97360415 684660.7188636945, -369462.0786954303 683674.2415197983, -392476.6909418163 680306.7816758762, -399698.9508236602 679797.6529361005, -399154.2415613167 686972.6835237819, -389893.1626898174 690484.4479811938, -388501.2165711189 699317.1267750731, -396320.9191385516 705886.8158895692, -400704.1736692204 712377.1429785955, -401090.6245327836 723596.6272222319, -404750.6062169503 725500.5909316447, -404483.4863825036 738909.7713668252))",12113,FL,Santa Rosa,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,12,019,00295726,0500000US12019,12019,Clay,06,1566375291,100402899,"POLYGON ((98939.83564013064 649053.781249368, 128843.1434948359 649083.8633565709, 131500.0313491152 649274.4810008084, 134554.3579857645 649178.4594115402, 134451.8550136605 641501.7172789451, 133505.3148973737 631529.7644623198, 141990.2974570075 623143.987017255, 143834.9313052729 610293.5004399566, 121496.6193785294 610018.9150886153, 112091.3405462372 605331.2306686423, 109133.0237663426 600248.5270342543, 98481.23142798795 597144.4964959866, 98812.8485490937 600296.4542112972, 98893.79688851598 644198.5449071524, 98939.83564013064 649053.781249368))",12019,FL,Clay,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
19,12,107,00306910,0500000US12107,12107,Putnam,06,1885167077,256548277,"POLYGON ((98299.45040406185 595361.1952737027, 97863.36251274044 597101.5674161559, 98481.23142798795 597144.4964959866, 109133.0237663426 600248.5270342543, 112091.3405462372 605331.2306686423, 121496.6193785294 610018.9150886153, 143834.9313052729 610293.5004399566, 149203.6508541279 601324.6543891779, 149225.7564690677 597122.2583383309, 149286.7121350224 586131.2394155442, 149522.7373663275 572587.0123103422, 153713.2330043212 561075.1928968576, 157878.0612747734 561280.6293864332, 156715.8488545067 559244.4575367672, 133865.0822154623 553179.4339539621, 128019.5661912739 558382.4194087801, 124728.4625880781 571306.2178873519, 118276.914039714 575070.7372114769, 102613.4836704558 573056.862528743, 97587.67122276119 569722.1549214786, 98299.45040406185 595361.1952737027))",12107,FL,Putnam,4.0,3.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
20,12,071,00295758,0500000US12071,12071,Lee,06,2025413418,1114617195,"POLYGON ((72665.55058230349 272701.8008495142, 80102.32017604657 270547.8370255733, 107400.1476358132 270265.497973019, 143717.6824958835 269996.712598495, 143717.7765354892 251247.6953631185, 143808.0332290471 241607.1067448211, 143921.8685522029 231557.7047015461, 134212.2914907049 231432.264415121, 134314.0038354008 219962.9611761488, 125500.4921756792 219936.9377123013, 118225.9550279644 219908.8587493062, 115493.7421930673 221491.7202982013, 107878.0798928876 233320.5552115864, 104599.3681350398 235084.1248307445, 98884.13765121387 235094.6622288027, 92762.32190117364 231820.2572393762, 87622.78157260975 233439.9101736321, 82272.29829433678 237917.9177834498, 75957.09390458497 251811.4229859381, 74175.70795347668 262622.8206930627, 74206.95147524419 269087.730874436, 72665.55058230349 272701.8008495142))",12071,FL,Lee,2.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
