OBJECTID,Join_Count,TARGET_FID,longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),xco2 (Moles Mole^{-1}),OBJECTID,County Name,State Name,STATE_FIPS,CNTY_FIPS,FIPS,Population (2017),Pop. per Sq. Mi.,POP2010,Population per Sq. Mi.,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape__Area,Shape__Length,x,y
11,1,1966,-80.36574841,-80.4902601242:-80.2412366867,26.30216855,26.1783522842:26.4259848154,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039194,2310,Broward,Florida,12,011,12011,1883555,1538.20000000,1748066,1427.50000000,1102231,467519,5065,56795,911,438247,64694,50851,846571,901495,103256,104071,112207,114200,104783,224479,251425,277040,207181,125353,82545,41526,39.60000000,38.40000000,40.70000000,686047,2.52000000,88038,109501,134277,159340,18672,65560,434488,3.14000000,810388,124341,456732,229315,615.00000000,24.00000000,4292.00000000,77100.00000000,1224.55000000,2.36112156,3952633066.09570313,272741.63025399,-80.365748405315,26.3021685501017
12,1,680,-82.60695934,-82.7314710617:-82.4824476242,30.01665652,29.8928402519:30.1404727831,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039307,2336,Columbia,Florida,12,023,12023,69419,86.70000000,67531,84.30000000,52611,11818,346,622,42,3276,787,1305,34951,32580,4232,4156,4205,4514,4725,8200,8075,10210,8824,6043,3253,1094,39.90000000,38.00000000,41.90000000,24941,2.52000000,2979,3423,4635,7394,849,2428,17122,3.00000000,28636,3695,18213,6728,945.00000000,107.00000000,33356.00000000,114893.00000000,801.02000000,2.63125100,2788109867.94726563,319747.10459492,-82.60695934261,30.0166565178778
13,1,1285,-82.35793591,-82.4824476242:-82.2334241867,29.52139146,29.3975751896:29.6452077207,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039333,2330,Alachua,Florida,12,001,12001,262216,270.60000000,247336,255.30000000,172156,50282,772,13235,134,20752,4211,6546,119786,127550,13068,11739,11669,23589,41515,36980,25508,29470,27171,14580,8375,3672,30.10000000,29.60000000,30.90000000,100516,2.32000000,13651,16705,14656,21921,1917,7983,53500,2.91000000,112766,12250,54768,45748,1662.00000000,113.00000000,58746.00000000,60865.00000000,968.91000000,2.63841660,3335777347.57617188,315203.53159364,-82.3579359056319,29.5213914549563
14,1,1970,-80.36574841,-80.4902601242:-80.2412366867,27.29269867,27.1688824089:27.4165149401,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039380,2314,St. Lucie,Florida,12,111,12111,302601,523.40000000,277789,480.50000000,199336,53036,1123,4334,161,45995,12512,7287,135859,141930,16418,16964,17757,17656,14680,30110,34617,39265,34944,29395,19384,6599,42.40000000,41.30000000,43.50000000,108523,2.53000000,11380,14892,20300,35036,3195,9066,74963,2.99000000,137029,28506,80766,27757,406.00000000,481.00000000,66559.00000000,413975.00000000,578.14000000,2.92018876,1906298475.91601563,345637.08436659,-80.365748405315,27.2926986745012
15,1,1841,-80.61477184,-80.7392835617:-80.4902601242,27.29269867,27.1688824089:27.4165149401,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039397,2314,St. Lucie,Florida,12,111,12111,302601,523.40000000,277789,480.50000000,199336,53036,1123,4334,161,45995,12512,7287,135859,141930,16418,16964,17757,17656,14680,30110,34617,39265,34944,29395,19384,6599,42.40000000,41.30000000,43.50000000,108523,2.53000000,11380,14892,20300,35036,3195,9066,74963,2.99000000,137029,28506,80766,27757,406.00000000,481.00000000,66559.00000000,413975.00000000,578.14000000,2.92018876,1906298475.91601563,345637.08436659,-80.6147718431914,27.2926986745012
16,1,1327,-82.10891247,-82.2334241867:-81.9844007492,28.53086133,28.4070450648:28.654677596,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039404,2321,Hernando,Florida,12,053,12053,182273,372.60000000,172778,353.20000000,154598,8816,613,1859,74,17796,3318,3500,82534,90244,8504,9240,10095,9957,7823,15359,19093,23713,24471,23233,15780,5510,47.70000000,46.60000000,48.70000000,71745,2.38000000,7345,10890,11356,26635,1804,5039,49313,2.82000000,84504,12759,57774,13971,799.00000000,78.00000000,15457.00000000,35491.00000000,489.18000000,4.06333678,1648179545.53320313,474406.33689878,-82.1089124677554,28.5308613305037
17,1,1283,-82.35793591,-82.4824476242:-82.2334241867,29.02612639,28.9023101272:29.1499426584,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039411,2324,Marion,Florida,12,083,12083,350915,211.00000000,331298,199.20000000,268284,40828,1309,4407,144,36137,9512,6814,158993,172305,17112,17413,18029,19033,16336,31810,35855,44391,46001,47094,28822,9402,47.30000000,45.90000000,48.60000000,137726,2.35000000,14876,21873,19921,50137,3488,10412,92554,2.80000000,164050,26324,105075,32651,3870.00000000,83.00000000,69750.00000000,48624.00000000,1662.75000000,3.40145914,5672866755.15625000,402715.74911508,-82.3579359056319,29.026126392505
18,1,1216,-80.86379528,-80.9883069992:-80.7392835617,28.28322880,28.1594125337:28.4070450648,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039415,2319,Osceola,Florida,12,097,12097,333980,221.90000000,268685,178.50000000,190641,30369,1452,7406,294,122146,27623,10900,131634,137051,17796,18815,20572,21442,18007,35301,39484,38876,28736,17613,8990,3053,35.60000000,34.40000000,36.80000000,90603,2.93000000,7601,8661,23209,24354,3608,10308,68547,3.30000000,128170,37567,58541,32062,365.00000000,1499.00000000,29700.00000000,297659.00000000,1505.11000000,3.41145679,5025147740.94531250,402224.41891133,-80.8637952801696,28.2832287990415
19,1,1118,-80.11672497,-80.2412366867:-79.9922132492,26.30216855,26.1783522842:26.4259848154,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039420,2310,Broward,Florida,12,011,12011,1883555,1538.20000000,1748066,1427.50000000,1102231,467519,5065,56795,911,438247,64694,50851,846571,901495,103256,104071,112207,114200,104783,224479,251425,277040,207181,125353,82545,41526,39.60000000,38.40000000,40.70000000,686047,2.52000000,88038,109501,134277,159340,18672,65560,434488,3.14000000,810388,124341,456732,229315,615.00000000,24.00000000,4292.00000000,77100.00000000,1224.55000000,2.36112156,3952633066.09570313,272741.63025399,-80.1167249683368,26.3021685501017
20,1,1845,-80.61477184,-80.7392835617:-80.4902601242,27.78796374,27.6641474713:27.9117800025,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039491,2351,Indian River,Florida,12,061,12061,149718,290.10000000,138028,267.50000000,116346,12397,408,1666,51,15465,4909,2251,66748,71280,6508,7024,7463,8012,6037,12455,14215,18977,19833,18036,13790,5678,49.00000000,47.10000000,50.60000000,60176,2.26000000,6935,10974,8912,21541,1344,3716,38682,2.77000000,76346,16170,45026,15150,461.00000000,352.00000000,54783.00000000,314418.00000000,516.03000000,3.54511016,1711235443.05078125,419365.65599304,-80.6147718431914,27.7879637366943
21,1,1928,-80.61477184,-80.7392835617:-80.4902601242,28.03559627,27.9117800025:28.1594125337,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039497,2352,Brevard,Florida,12,009,12009,578927,545.30000000,543376,511.90000000,450927,54799,2118,11349,514,43943,9299,14370,266242,277134,26809,28563,31269,34491,29335,54795,62148,90602,74652,57686,38925,14101,45.50000000,44.10000000,46.60000000,229692,2.33000000,29518,35809,37258,73627,5655,16565,148392,2.84000000,269864,40172,168841,60851,513.00000000,286.00000000,19337.00000000,89650.00000000,1061.59000000,10.32733280,3557703596.79296875,1239954.83945471,-80.6147718431914,28.0355962683452
22,1,1968,-80.36574841,-80.4902601242:-80.2412366867,26.79743361,26.6736173466:26.9212498778,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039503,2311,Palm Beach,Florida,12,099,12099,1441728,650.70000000,1320134,595.80000000,970121,228690,6043,31100,770,250823,53138,30272,638888,681246,70852,72847,76917,79570,74105,146694,165576,188126,160292,130427,105523,49205,43.50000000,41.70000000,45.20000000,544227,2.39000000,64684,99196,92419,159450,13567,39701,340709,2.97000000,664594,120367,388493,155734,1409.00000000,365.00000000,440747.00000000,709041.00000000,2215.76000000,4.10004481,7213020986.91992188,484558.60657884,-80.365748405315,26.7974336122037
23,1,1967,-80.36574841,-80.4902601242:-80.2412366867,26.54980108,26.4259848154:26.6736173466,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039510,2311,Palm Beach,Florida,12,099,12099,1441728,650.70000000,1320134,595.80000000,970121,228690,6043,31100,770,250823,53138,30272,638888,681246,70852,72847,76917,79570,74105,146694,165576,188126,160292,130427,105523,49205,43.50000000,41.70000000,45.20000000,544227,2.39000000,64684,99196,92419,159450,13567,39701,340709,2.97000000,664594,120367,388493,155734,1409.00000000,365.00000000,440747.00000000,709041.00000000,2215.76000000,4.10004481,7213020986.91992188,484558.60657884,-80.365748405315,26.5498010810303
24,1,1282,-82.35793591,-82.4824476242:-82.2334241867,28.77849386,28.654677596:28.9023101272,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039563,2322,Citrus,Florida,12,017,12017,144825,229.30000000,141236,223.60000000,131350,3987,482,1996,38,6584,1106,2277,68359,72877,5537,5724,6602,7195,5357,9865,13079,19335,23501,24597,15166,5278,54.00000000,53.00000000,54.80000000,63304,2.20000000,7534,10375,7400,25674,1478,3393,41368,2.63000000,78026,14722,52100,11204,559.00000000,73.00000000,7259.00000000,25190.00000000,631.51000000,9.70646385,2139786161.96093750,1146041.46991926,-82.3579359056319,28.7784938615871
25,1,1843,-80.61477184,-80.7392835617:-80.4902601242,27.54033121,27.4165149401:27.6641474713,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039568,2314,St. Lucie,Florida,12,111,12111,302601,523.40000000,277789,480.50000000,199336,53036,1123,4334,161,45995,12512,7287,135859,141930,16418,16964,17757,17656,14680,30110,34617,39265,34944,29395,19384,6599,42.40000000,41.30000000,43.50000000,108523,2.53000000,11380,14892,20300,35036,3195,9066,74963,2.99000000,137029,28506,80766,27757,406.00000000,481.00000000,66559.00000000,413975.00000000,578.14000000,2.92018876,1906298475.91601563,345637.08436659,-80.6147718431914,27.5403312055529
26,1,1284,-82.35793591,-82.4824476242:-82.2334241867,29.27375892,29.1499426584:29.3975751896,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039577,2324,Marion,Florida,12,083,12083,350915,211.00000000,331298,199.20000000,268284,40828,1309,4407,144,36137,9512,6814,158993,172305,17112,17413,18029,19033,16336,31810,35855,44391,46001,47094,28822,9402,47.30000000,45.90000000,48.60000000,137726,2.35000000,14876,21873,19921,50137,3488,10412,92554,2.80000000,164050,26324,105075,32651,3870.00000000,83.00000000,69750.00000000,48624.00000000,1662.75000000,3.40145914,5672866755.15625000,402715.74911508,-82.3579359056319,29.2737589242642
27,1,1286,-82.35793591,-82.4824476242:-82.2334241867,29.76902399,29.6452077207:29.8928402519,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039583,2330,Alachua,Florida,12,001,12001,262216,270.60000000,247336,255.30000000,172156,50282,772,13235,134,20752,4211,6546,119786,127550,13068,11739,11669,23589,41515,36980,25508,29470,27171,14580,8375,3672,30.10000000,29.60000000,30.90000000,100516,2.32000000,13651,16705,14656,21921,1917,7983,53500,2.91000000,112766,12250,54768,45748,1662.00000000,113.00000000,58746.00000000,60865.00000000,968.91000000,2.63841660,3335777347.57617188,315203.53159364,-82.3579359056319,29.7690239862139
28,1,1969,-80.36574841,-80.4902601242:-80.2412366867,27.04506614,26.9212498778:27.1688824089,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039603,2313,Martin,Florida,12,085,12085,156333,235.00000000,146318,219.90000000,127691,7842,840,1540,104,17881,5968,2333,72423,73895,6201,6896,7751,7805,6422,12436,15429,22181,21225,19475,14488,6009,49.70000000,48.00000000,51.40000000,63899,2.23000000,8227,11612,9316,22882,1345,3311,40148,2.75000000,78131,14232,49196,14703,587.00000000,237.00000000,43837.00000000,281862.00000000,665.31000000,2.65592433,2182025685.09375000,307335.27495192,-80.365748405315,27.0450661432746
29,1,1326,-82.10891247,-82.2334241867:-81.9844007492,28.28322880,28.1594125337:28.4070450648,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039638,2318,Pasco,Florida,12,101,12101,512082,669.30000000,464697,607.40000000,409784,20700,1646,9796,270,54536,12054,10447,225886,238811,25664,27278,28407,27637,22191,49207,60711,66594,60763,50870,32822,12553,43.60000000,42.40000000,44.80000000,189612,2.42000000,21081,28672,35180,61736,5224,13202,127079,2.90000000,228928,39316,146239,43373,1065.00000000,161.00000000,24708.00000000,69351.00000000,765.07000000,3.12889393,2566015732.44335938,364094.26813071,-82.1089124677554,28.2832287990415
30,1,1325,-82.10891247,-82.2334241867:-81.9844007492,28.03559627,27.9117800025:28.1594125337,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039710,2317,Hillsborough,Florida,12,057,12057,1382695,1288.10000000,1229226,1145.10000000,876137,205073,4779,42076,925,306635,61554,38682,599084,630142,80459,79737,82835,88167,91853,173877,174342,178058,134661,79772,46900,18565,36.00000000,35.10000000,37.00000000,474030,2.55000000,58180,70370,95631,114110,14457,46780,304864,3.11000000,536092,62062,288819,185211,2466.00000000,87.00000000,75764.00000000,153316.00000000,1073.47000000,6.64655011,3575258034.88671875,780915.85301325,-82.1089124677554,28.0355962683452
31,1,1367,-81.85988903,-81.9844007492:-81.7353773117,27.29269867,27.1688824089:27.4165149401,20150702120000.00000000,20150101000000:20160101000000,171.28717041,0.0:342.57434082,0.00039727,2305,DeSoto,Florida,12,027,12027,36506,57.10000000,34862,54.50000000,23094,4431,137,178,11,10425,6178,833,19718,15144,2278,2103,2027,2456,2678,4607,4173,4348,3964,3567,2055,606,38.00000000,36.10000000,41.10000000,11445,2.71000000,1166,1446,2044,3632,453,1034,7903,3.10000000,14590,3145,8237,3208,836.00000000,362.00000000,62382.00000000,237166.00000000,639.33000000,1.60520515,2100984050.00000000,187239.62549006,-81.8598890307772,27.2926986745012
