ObjectId,Join_Count,TARGET_FID,longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),xco2 (Moles Mole^{-1}),OBJECTID,County Name,State Name,STATE_FIPS,CNTY_FIPS,FIPS,Population (2017),Pop. per Sq. Mi.,POP2010,Population per Sq. Mi.,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape__Area,Shape__Length,x,y
11,1,324,-87.33840466,-87.4629163742:-87.2138929367,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,0.00039878,398,Escambia,Florida,12,033,12033,317676,475.40000000,297619,445.40000000,204993,68282,2623,8174,430,14061,3740,9377,147119,150500,18787,17210,17092,23216,26402,38116,34012,43194,36661,23484,14116,5329,37.40000000,35.40000000,39.50000000,116238,2.41000000,14850,18784,18834,30583,3046,12348,74040,2.96000000,136703,20465,75418,40820,729.00000000,102.00000000,40133.00000000,58375.00000000,668.25000000,5.11902212,2348657985.08398438,601405.10578756,-87.3384046550766,30.5119215798839
12,1,325,-87.33840466,-87.4629163742:-87.2138929367,30.75955411,30.6357378455:30.8833703766,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,0.00039980,398,Escambia,Florida,12,033,12033,317676,475.40000000,297619,445.40000000,204993,68282,2623,8174,430,14061,3740,9377,147119,150500,18787,17210,17092,23216,26402,38116,34012,43194,36661,23484,14116,5329,37.40000000,35.40000000,39.50000000,116238,2.41000000,14850,18784,18834,30583,3046,12348,74040,2.96000000,136703,20465,75418,40820,729.00000000,102.00000000,40133.00000000,58375.00000000,668.25000000,5.11902212,2348657985.08398438,601405.10578756,-87.3384046550766,30.7595541113741
13,1,369,-87.08938122,-87.2138929367:-86.9648694992,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,399,Santa Rosa,Florida,12,113,12113,171747,167.60000000,151372,147.70000000,132920,8205,1306,2759,217,6507,1463,4502,76422,74950,9197,9770,10620,10550,8875,18591,20893,24835,18581,12043,5801,1616,39.10000000,37.90000000,40.30000000,56910,2.59000000,5819,6329,13849,18614,1648,4294,41553,2.99000000,64760,7850,43453,13457,666.00000000,147.00000000,69610.00000000,94250.00000000,1024.96000000,4.76320605,3604571196.75781250,566897.17005105,-87.0893812180984,30.5119215798839
14,1,370,-87.08938122,-87.2138929367:-86.9648694992,30.75955411,30.6357378455:30.8833703766,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,399,Santa Rosa,Florida,12,113,12113,171747,167.60000000,151372,147.70000000,132920,8205,1306,2759,217,6507,1463,4502,76422,74950,9197,9770,10620,10550,8875,18591,20893,24835,18581,12043,5801,1616,39.10000000,37.90000000,40.30000000,56910,2.59000000,5819,6329,13849,18614,1648,4294,41553,2.99000000,64760,7850,43453,13457,666.00000000,147.00000000,69610.00000000,94250.00000000,1024.96000000,4.76320605,3604571196.75781250,566897.17005105,-87.0893812180984,30.7595541113741
15,1,405,-86.34231091,-86.4668226242:-86.2177991867,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,402,Walton,Florida,12,131,12131,64209,60.00000000,55043,51.50000000,48351,3178,488,499,58,2921,1169,1300,28177,26866,3355,3159,2916,3124,2945,6938,7116,8714,7833,5458,2630,855,42.10000000,40.60000000,43.90000000,22301,2.38000000,2846,3317,3853,7106,634,1586,14512,2.87000000,45132,22831,16194,6107,670.00000000,221.00000000,30700.00000000,42633.00000000,1069.31000000,3.95134698,3754947936.32031250,472651.58406098,-86.3423109053673,30.5119215798839
16,1,406,-86.34231091,-86.4668226242:-86.2177991867,30.75955411,30.6357378455:30.8833703766,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,402,Walton,Florida,12,131,12131,64209,60.00000000,55043,51.50000000,48351,3178,488,499,58,2921,1169,1300,28177,26866,3355,3159,2916,3124,2945,6938,7116,8714,7833,5458,2630,855,42.10000000,40.60000000,43.90000000,22301,2.38000000,2846,3317,3853,7106,634,1586,14512,2.87000000,45132,22831,16194,6107,670.00000000,221.00000000,30700.00000000,42633.00000000,1069.31000000,3.95134698,3754947936.32031250,472651.58406098,-86.3423109053673,30.7595541113741
17,1,451,-86.09328747,-86.2177991867:-85.9687757492,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,402,Walton,Florida,12,131,12131,64209,60.00000000,55043,51.50000000,48351,3178,488,499,58,2921,1169,1300,28177,26866,3355,3159,2916,3124,2945,6938,7116,8714,7833,5458,2630,855,42.10000000,40.60000000,43.90000000,22301,2.38000000,2846,3317,3853,7106,634,1586,14512,2.87000000,45132,22831,16194,6107,670.00000000,221.00000000,30700.00000000,42633.00000000,1069.31000000,3.95134698,3754947936.32031250,472651.58406098,-86.0932874683892,30.5119215798839
18,1,452,-86.09328747,-86.2177991867:-85.9687757492,30.75955411,30.6357378455:30.8833703766,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,0.00040126,402,Walton,Florida,12,131,12131,64209,60.00000000,55043,51.50000000,48351,3178,488,499,58,2921,1169,1300,28177,26866,3355,3159,2916,3124,2945,6938,7116,8714,7833,5458,2630,855,42.10000000,40.60000000,43.90000000,22301,2.38000000,2846,3317,3853,7106,634,1586,14512,2.87000000,45132,22831,16194,6107,670.00000000,221.00000000,30700.00000000,42633.00000000,1069.31000000,3.95134698,3754947936.32031250,472651.58406098,-86.0932874683892,30.7595541113741
19,1,496,-85.84426403,-85.9687757492:-85.7197523117,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,0.00040098,407,Washington,Florida,12,133,12133,25039,40.60000000,24896,40.40000000,20014,3745,319,134,15,733,149,520,13575,11321,1444,1404,1465,1596,1528,3209,3474,3820,3129,2328,1124,375,40.30000000,38.60000000,42.70000000,8864,2.50000000,1052,1213,1737,2806,300,729,6195,2.97000000,10796,1932,6894,1970,406.00000000,144.00000000,18381.00000000,33369.00000000,616.11000000,2.38920177,2161335259.43554688,284283.78138910,-85.8442640305127,30.5119215798839
20,1,497,-85.84426403,-85.9687757492:-85.7197523117,30.75955411,30.6357378455:30.8833703766,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,0.00040007,405,Holmes,Florida,12,059,12059,19865,40.60000000,19927,40.80000000,18043,1147,160,87,27,444,74,389,10594,9333,1136,1130,1186,1310,1280,2346,2587,2896,2631,2021,1063,341,41.30000000,39.20000000,43.80000000,7354,2.47000000,909,1025,1480,2383,235,564,5102,2.96000000,8641,1287,5710,1644,801.00000000,132.00000000,34417.00000000,36105.00000000,488.76000000,1.75052834,1723669703.13476563,206544.51317438,-85.8442640305127,30.7595541113741
